,datetime_of_scrape,start_date,end_date,length_of_stay,itinerary,price,duration_there,duration_back,total_duration,n_stops_there,n_stops_back,total_stops,airline_there,airline_back,agency
35,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310010900--31939-1-9601-2310020205|9601-2310160855--32672,-32090-2-13542-2310171005",1130.3,12.583333333333334,29.666666666666668,42.25,1,2,3,Qatar Airways,Qatar Airways,Expedia
34,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310010900--31939-1-9601-2310020205|9601-2310160855--32672,-31734-2-13542-2310171610",1186.91,12.583333333333334,35.75,48.333333333333336,1,2,3,Qatar Airways,Qatar Airways,Expedia
43,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310010900--31939-1-9601-2310020205|9601-2310162310--32672,-31734-2-13542-2310181000",1147.398,12.583333333333334,39.333333333333336,51.91666666666667,1,2,3,Qatar Airways,Qatar Airways,Booking.com
40,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310010900--31939-1-9601-2310020205|9601-2310161525--31435,-31939-2-13542-2310180645",995.278,12.583333333333334,43.833333333333336,56.41666666666667,1,2,3,Qatar Airways,Qatar Airways,travelup
37,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310010900--31939-1-9601-2310020205|9601-2310161015--31435,-31939-2-13542-2310180620",881.85,12.583333333333334,48.583333333333336,61.16666666666667,1,2,3,Qatar Airways,Qatar Airways,travelup
153,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011435--32348,-31826-1-9601-2310020815|9601-2310160645--32672,-32348-2-13542-2310161945",1353.07,13.166666666666666,17.5,30.666666666666664,1,2,3,Emirates,SpiceJet,Carlton Leisure
159,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011435--32348,-31826-1-9601-2310020815|9601-2310162310--32672,-32348-2-13542-2310171235",1353.07,13.166666666666666,17.916666666666668,31.083333333333336,1,2,3,Emirates,SpiceJet,Carlton Leisure
156,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011435--32348,-31826-1-9601-2310020815|9601-2310161620--32672,-32348-2-13542-2310170720",1353.07,13.166666666666666,19.5,32.666666666666664,1,2,3,Emirates,SpiceJet,Carlton Leisure
157,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011435--32348,-31826-1-9601-2310020815|9601-2310162310--32672,-31734-2-13542-2310171610",1445.598,13.166666666666666,21.5,34.666666666666664,1,2,3,Emirates,SpiceJet,Booking.com
158,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011435--32348,-31826-1-9601-2310020815|9601-2310162310--32672,-31734-2-13542-2310181000",1408.998,13.166666666666666,39.333333333333336,52.5,1,2,3,Emirates,SpiceJet,Booking.com
131,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011405--32480,-31939-1-9601-2310030205|9601-2310162310--32672,-32090-2-13542-2310171005",973.85,31.5,15.416666666666666,46.916666666666664,1,2,3,British Airways,Qatar Airways,Expedia
117,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011405--32480,-31939-1-9601-2310030205|9601-2310160335--31939,-32480-2-13542-2310161950",977.57,31.5,20.75,52.25,1,2,3,British Airways,Qatar Airways,Expedia
115,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011405--32480,-31939-1-9601-2310030205|9601-2310160335--31939,-32222-2-13542-2310162000",943.67,31.5,20.916666666666668,52.41666666666667,1,2,3,British Airways,Qatar Airways,Expedia
113,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011405--31939-1-9601-2310030205|9601-2310162310--32672,-31734-2-13542-2310171610",806.182,31.5,21.5,53.0,1,2,3,British Airways,Qatar Airways,lastminute.com
118,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011405--32480,-31939-1-9601-2310030205|9601-2310160335--31939,-32753-2-13542-2310162055",803.97,31.5,21.833333333333332,53.33333333333333,1,2,3,British Airways,Qatar Airways,Expedia
127,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011405--32480,-31939-1-9601-2310030205|9601-2310161525--31435,-32090-2-13542-2310171005",751.25,31.5,23.166666666666668,54.66666666666667,1,2,3,British Airways,Qatar Airways,Expedia
110,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011405--31939-1-9601-2310030205|9601-2310161015--31435,-32348-2-13542-2310170720",750.336,31.5,25.583333333333332,57.08333333333333,1,2,3,British Airways,Qatar Airways,lastminute.com
123,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011405--32480,-31939-1-9601-2310030205|9601-2310161015--31435,-32090-2-13542-2310171005",698.75,31.5,28.333333333333332,59.83333333333333,1,2,3,British Airways,Qatar Airways,Expedia
121,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011405--32480,-31939-1-9601-2310030205|9601-2310160855--32672,-32090-2-13542-2310171005",722.9,31.5,29.666666666666668,61.16666666666667,1,2,3,British Airways,Qatar Airways,Expedia
